column,dtype,missing_%,unique,qid,question,force_resp,question_type,selector
Industry,object,55.9,15,QID326,What industry is the company you work for in?,False,MC,SAVR
TimeAnswering,object,55.92,5,QID292,"On an average day, how much time do you typically spend answering questions you get asked at work?",False,MC,SAVR
ProfessionalQuestion,object,55.98,9,QID333,"When you have a technical question at work, where do you first go to get an answer?",False,MC,SAVR
Knowledge_1,object,56.2,5,QID289,I have interactions with people outside of my immediate team.,,MC,MAVR
ProfessionalCloud,object,56.46,3,QID332,"At my company, our applications, databases and services are hosted:",False,MC,SAVR
Frequency_2,object,56.65,5,QID290,Interacting with people outside of your immediate team?,,MC,MAVR
Frequency_1,object,56.65,5,QID290,Needing help from people outside of your immediate team?,,MC,MAVR
Frustration,object,56.83,954,QID342,Which of these company challenges causes you the most frustration? Select all that apply.,False,MC,MAVR
Knowledge_3,object,57.07,5,QID289,I can find up-to-date information within my organization to help me do my job.,,MC,MAVR
Knowledge_4,object,57.16,5,QID289,I am able to quickly find answers to my questions with existing tools and resources.,,MC,MAVR
Knowledge_2,object,57.18,5,QID289,"Knowledge silos prevent me from getting ideas across the organization (i.e., one individual or team has information that isn't shared with others)",,MC,MAVR
Knowledge_5,object,57.39,5,QID289,I know which system or resource to use to find information and answers to questions I have.,,MC,MAVR
Knowledge_6,object,57.42,5,QID289,I often find myself answering questions that I’ve already answered before.,,MC,MAVR
Knowledge_7,object,57.55,5,QID289,Waiting on answers to questions often causes interruptions and disrupts my workflow.,,MC,MAVR
ProfessionalTech,object,57.57,514,QID304,My company has:,False,MC,MAVR
Knowledge_8,object,57.58,5,QID289,I feel like I have the tools and/or resources to quickly understand and work on any area of my company's code/system/platform.,,MC,MAVR
Frequency_3,object,57.65,5,QID290,Encountering knowledge silos (where one individual or team has information that's not shared or distributed with other individuals or teams) at work?,,MC,MAVR
Knowledge_9,object,57.77,5,QID289,I have asked my employer to reimburse me for tools or a product that helps me do my job better or faster,,MC,MAVR
AINextMore integrated,object,62.67,884,,,,,
AIToolNot interested in Using,object,62.69,1531,,,,,
ConvertedCompYearly,float64,64.19,6113,,,,,
EmbeddedHaveWorkedWith,object,66.05,1630,,,,,
EmbeddedWantToWorkWith,object,73.1,1471,,,,,
EmbeddedAdmired,object,74.43,1053,,,,,
AINextMuch more integrated,object,79.46,700,,,,,
AINextNo change,object,80.9,539,,,,,
AINextLess integrated,object,96.4,249,,,,,
AINextMuch less integrated,object,98.25,286,,,,,
